peat_condition,drainage_status,direct_co2,direct_co2_1,direct_co2_2,co2_from_doc,co2_from_poc,direct_ch4,ch4_from_ditches,direct_n2o,total_(up_down_se),total_break1,total_break2,total_up_down
Forest,Drained,0.95 to -0.38,0.95,-0.38,0.31,0.07,2.44,5.43,1.48,5.71 to 0.84 (± 0.46),5.71,0.84,0.46
Cropland (peat > 40 cm),Drained,7.38,7.38,7.38,0.31,0.14,1.86,58.25,16.28,37.17 (± 8.18),37.17,37.17,8.18
Cropland (peat < 40 cm),Drained,4.36,4.36,4.36,0.31,0.14,1.86,58.25,16.28,26.10 (± 2.67),26.1,26.1,2.67
Eroding Modified Bog (bare peat),Drained,1.48,1.48,1.48,0.31,2.8,40.59,27.1,0.3,18.86 (± 1.07),18.86,18.86,1.07
Eroding Modified Bog (bare peat),Undrained,1.48,1.48,1.48,0.19,2.8,42.72,0,0.3,17.72 (± 1.00),17.72,17.72,1
Modified (semi-natural Heather + Grass dominated),Drained,0.01,0.01,0.01,0.31,0.07,60.21,5.43,0.13,3.32 (± 0.73),3.32,3.32,0.73
Modified (semi-natural Heather + Grass dominated),Undrained,0.01,0.01,0.01,0.19,0,61.75,0,0.13,2.51 (± 0.73),2.51,2.51,0.73
Extensive Grassland (combined bog/fen),Drained,3.21,3.21,3.21,0.31,0.14,34.11,26.35,1.82,15.88 (± 3.38),15.88,15.88,3.38
Intensive Grassland,Drained,4.06,4.06,4.06,0.31,0.14,27.58,58.25,7.39,22.00 (± 2.08),22,22,2.08
Rewetted Bog,Rewetted,-0.16,-0.16,-0.16,0.24,0,111.11,0,0.03,3.42 (± 1.17),3.42,3.42,1.17
Rewetted Bog,Rewetted,-0.19,-0.19,-0.19,0.24,0,111.44,0,0,3.31 (± 4.61),3.31,3.31,4.61
Rewetted Modified (Semi-natural) Bog,Rewetted,-0.97,-0.97,-0.97,0.19,0,113.07,0,0,0.32 (± 1.17),0.32,0.32,1.17
Near Natural Bog,Undrained,-0.97,-0.97,-0.97,0.19,0,113.07,0,0,0.32 (± 1.17),0.32,0.32,1.17
Near Natural Fen,Undrained,-1.38,-1.38,-1.38,0.19,0,143.25,0,0,-0.36 (± 1.98),-0.36,-0.36,1.98
Extracted Domestic,Drained,2.8,2.8,2.8,0.31,2.8,40.59,27.1,0.3,15.18 (± 2.94),15.18,15.18,2.94
Extracted Industrial,Drained,1.48,1.48,1.48,0.31,2.8,40.59,27.1,0.3,18.86 (± 1.07),18.86,18.86,1.07
Settlement,Drained,0.005,0.005,0.005,0.16,0.04,30.1,2.71,0.07,1.66,1.66,1.66,1.66
